0 , 30.8148, 44 , 22 , 0
10 , 26.8749, 61 , 31 , 17
12 , 23.3204, 64 , 32 , 20
14 , 23.1782, 68 , 32 , 24
60 , 22.9611, 201 , 53 , 157
62 , 21.5722, 203 , 55 , 159
207 , 21.4579, 494 , 122 , 450
217 , 18.0979, 500 , 127 , 456
220 , 16.4077, 501 , 124 , 457
237 , 16.1411, 515 , 133 , 471
333 , 16.012, 704 , 180 , 660
349 , 15.1687, 718 , 192 , 674
459 , 14.7114, 860 , 264 , 816
1619 , 14.2302, 2104 , 511 , 2060
6136 , 13.7288, 7075 , 1111 , 7031
12300 , 13.5578, 9735 , 1750 , 9691
28575 , 13.2202, 18046 , 3040 , 18002
