0 , 30.8148, 44 , 22 , 0
16 , 26.4131, 188 , 38 , 48
18 , 26.239, 205 , 39 , 52
23 , 24.7917, 240 , 45 , 62
88 , 22.2776, 718 , 102 , 185
95 , 21.9656, 742 , 104 , 190
152 , 19.5962, 1158 , 149 , 273
207 , 19.5666, 1532 , 177 , 334
209 , 18.6514, 1556 , 178 , 337
218 , 15.8555, 1591 , 181 , 342
309 , 15.5669, 2663 , 234 , 450
1226 , 14.3472, 10726 , 661 , 1146
7739 , 13.937, 55013 , 2254 , 3732
11359 , 13.8376, 72393 , 2809 , 4633
12161 , 13.6281, 76317 , 2926 , 4819
13770 , 13.501, 84846 , 3123 , 5184
18153 , 13.0855, 106367 , 3646 , 6080
26765 , 12.9054, 155801 , 4519 , 7709
