0 , 24.345, 183 , 178 , 0
0 , 19.9434, 184 , 141 , 1
0 , 19.0345, 188 , 45 , 4
0 , 17.9085, 195 , 49 , 8
0 , 15.361, 202 , 37 , 12
1 , 14.9196, 236 , 34 , 26
1 , 14.4237, 257 , 41 , 33
2 , 14.1097, 294 , 53 , 46
5 , 13.4646, 431 , 89 , 82
10 , 13.3481, 658 , 138 , 135
11 , 13.134, 706 , 148 , 145
15 , 13.0253, 837 , 189 , 187
16 , 12.8423, 852 , 195 , 193
24 , 12.5795, 1104 , 267 , 266
48 , 11.4277, 1676 , 437 , 437
103 , 10.6982, 2653 , 716 , 721
23929 , 10.5843, 50567 , 15595 , 15847
28812 , 10.5669, 55563 , 17116 , 17389
